TamanyFiltre	NumHash	TamanyClau	porcentatge	FalsosPositius	FalsosNegatius
500	7	5	33	47	4
500	7	5	66	0	330
500	7	5	99	0	495
500	7	6	0	494	0
500	7	6	33	42	4
500	7	6	66	0	330
500	7	6	99	0	495
500	7	7	0	489	0
500	7	7	33	50	4
500	7	7	66	0	330
500	7	7	99	0	495
500	7	8	0	479	0
500	7	8	33	38	6
500	7	8	66	0	330
500	7	8	99	0	495
500	7	9	0	491	0
500	7	9	33	38	3
500	7	9	66	0	330
500	7	9	99	0	495
500	7	10	0	493	0
500	7	10	33	40	4
500	7	10	66	0	330
500	7	10	99	0	495
500	8	2	0	425	0
500	8	2	33	77	28
500	8	2	66	0	342
500	8	2	99	0	495
500	8	3	0	499	0
500	8	3	33	52	2
500	8	3	66	0	330
500	8	3	99	0	495
500	8	4	0	500	0
500	8	4	33	44	3
500	8	4	66	0	330
500	8	4	99	0	495
500	8	5	0	500	0
500	8	5	33	53	2
500	8	5	66	0	330
500	8	5	99	0	495
500	8	6	0	500	0
500	8	6	33	52	3
500	8	6	66	0	330
500	8	6	99	0	495
500	8	7	0	487	0
500	8	7	33	59	0
500	8	7	66	0	330
500	8	7	99	0	495
500	8	8	0	488	0
500	8	8	33	46	5
500	8	8	66	0	330
500	8	8	99	0	495
500	8	9	0	500	0
500	8	9	33	46	2
500	8	9	66	0	330
500	8	9	99	0	495
500	8	10	0	490	0
500	8	10	33	51	2
500	8	10	66	0	330
500	8	10	99	0	495
500	9	2	0	436	0
500	9	2	33	85	25
500	9	2	66	0	342
500	9	2	99	0	495
500	9	3	0	499	0
500	9	3	33	60	1
500	9	3	66	0	330
500	9	3	99	0	495
500	9	4	0	500	0
500	9	4	33	56	1
500	9	4	66	0	330
500	9	4	99	0	495
500	9	5	0	500	0
500	9	5	33	71	1
500	9	5	66	0	330
500	9	5	99	0	495
500	9	6	0	500	0
500	9	6	33	61	1
500	9	6	66	0	330
500	9	6	99	0	495
500	9	7	0	500	0
500	9	7	33	64	0
500	9	7	66	0	330
500	9	7	99	0	495
500	9	8	0	500	0
500	9	8	33	56	2
500	9	8	66	0	330
500	9	8	99	0	495
500	9	9	0	500	0
500	9	9	33	54	1
500	9	9	66	0	330
500	9	9	99	0	495
500	9	10	0	500	0
500	9	10	33	55	2
500	9	10	66	0	330
500	9	10	99	0	495
500	10	2	0	436	0
500	10	2	33	89	24
500	10	2	66	0	342
500	10	2	99	0	495
500	10	3	0	499	0
500	10	3	33	70	0
500	10	3	66	0	330
500	10	3	99	0	495
500	10	4	0	500	0
500	10	4	33	59	1
500	10	4	66	0	330
500	10	4	99	0	495
500	10	5	0	500	0
500	10	5	33	74	0
500	10	5	66	0	330
500	10	5	99	0	495
500	10	6	0	500	0
500	10	6	33	69	0
500	10	6	66	0	330
500	10	6	99	0	495
500	10	7	0	500	0
500	10	7	33	77	0
500	10	7	66	0	330
500	10	7	99	0	495
500	10	8	0	500	0
500	10	8	33	61	1
500	10	8	66	0	330
500	10	8	99	0	495
500	10	9	0	500	0
500	10	9	33	65	0
500	10	9	66	0	330
500	10	9	99	0	495
500	10	10	0	500	0
500	10	10	33	61	1
500	10	10	66	0	330
500	10	10	99	0	495
500	11	2	0	453	0
500	11	2	33	89	22
500	11	2	66	0	342
500	11	2	99	0	495
500	11	3	0	499	0
500	11	3	33	77	0
500	11	3	66	0	330
500	11	3	99	0	495
500	11	4	0	500	0
500	11	4	33	63	0
500	11	4	66	0	330
500	11	4	99	0	495
500	11	5	0	500	0
500	11	5	33	84	0
500	11	5	66	0	330
500	11	5	99	0	495
500	11	6	0	500	0
500	11	6	33	72	0
500	11	6	66	0	330
500	11	6	99	0	495
500	11	7	0	500	0
500	11	7	33	79	0
500	11	7	66	0	330
500	11	7	99	0	495
500	11	8	0	500	0
500	11	8	33	65	0
500	11	8	66	0	330
500	11	8	99	0	495
500	11	9	0	500	0
500	11	9	33	70	0
500	11	9	66	0	330
500	11	9	99	0	495
500	11	10	0	500	0
